CNAE 2.0 Classe,Atividade Nome
1113,Cultivo de cereais
1121,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
1130,Cultivo de cana-de-açúcar
1148,Cultivo de fumo
1156,Cultivo de soja
1164,"Cultivo de oleaginosas de lavoura temporária, exceto soja"
1199,Cultivo de plantas de lavoura temporária não especificadas anteriormente
1211,Horticultura
1229,Cultivo de flores e plantas ornamentais
1318,Cultivo de laranja
1326,Cultivo de uva
1334,"Cultivo de frutas de lavoura permanente, exceto laranja e uva"
1342,Cultivo de café
1351,Cultivo de cacau
1393,Cultivo de plantas de lavoura permanente não especificadas anteriormente
1415,Produção de sementes certificadas
1423,"Produção de mudas e outras formas de propagação vegetal, certificadas"
1512,Criação de bovinos
1521,Criação de outros animais de grande porte
1539,Criação de caprinos e ovinos
1547,Criação de suínos
1555,Criação de aves
1598,Criação de animais não especificados anteriormente
1610,Atividades de apoio à agricultura
1628,Atividades de apoio à pecuária
1636,Atividades de pós-colheita
1709,Caça e serviços relacionados
2101,Produção florestal - florestas plantadas
2209,Produção florestal - florestas nativas
2306,Atividades de apoio à produção florestal
3116,Pesca em água salgada
3124,Pesca em água doce
3213,Aquicultura em água salgada e salobra
3221,Aquicultura em água doce
5003,Extração de carvão mineral
6000,Extração de petróleo e gás natural
7103,Extração de minério de ferro
7219,Extração de minério de alumínio
7227,Extração de minério de estanho
7235,Extração de minério de manganês
7243,Extração de minério de metais preciosos
7251,Extração de minerais radioativos
7294,Extração de minerais metálicos não ferrosos não especificados anteriormente
8100,"Extração de pedra, areia e argila"
8916,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
8924,Extração e refino de sal marinho e sal-gema
8932,Extração de gemas (pedras preciosas e semipreciosas)
8991,Extração de minerais não metálicos não especificados anteriormente
9106,Atividades de apoio à extração de petróleo e gás natural
9904,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
10112,"Abate de reses, exceto suínos"
10121,"Abate de suínos, aves e outros pequenos animais"
10139,Fabricação de produtos de carne
10201,Preservação do pescado e fabricação de produtos do pescado
10317,Fabricação de conservas de frutas
10325,Fabricação de conservas de legumes e outros vegetais
10333,"Fabricação de sucos de frutas, hortaliças e legumes"
10414,"Fabricação de óleos vegetais em bruto, exceto óleo de milho"
10422,"Fabricação de óleos vegetais refinados, exceto óleo de milho"
10431,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis
10511,Preparação do leite
10520,Fabricação de laticínios
10538,Fabricação de sorvetes e outros gelados comestíveis
10619,Beneficiamento de arroz e fabricação de produtos do arroz
10627,Moagem de trigo e fabricação de derivados
10635,Fabricação de farinha de mandioca e derivados
10643,"Fabricação de farinha de milho e derivados, exceto óleos de milho"
10651,Fabricação de amidos e féculas de vegetais e de óleos de milho
10660,Fabricação de alimentos para animais
10694,Moagem e fabricação de produtos de origem vegetal não especificados
10716,Fabricação de açúcar em bruto
10724,Fabricação de açúcar refinado
10813,Torrefação e moagem de café
10821,Fabricação de produtos à base de café
10911,Fabricação de produtos de panificação
10929,Fabricação de biscoitos e bolachas
10937,"Fabricação de produtos derivados do cacau, de chocolates e confeitos"
10945,Fabricação de massas alimentícias
10953,"Fabricação de especiarias, molhos, temperos e condimentos"
10961,Fabricação de alimentos e pratos prontos
10996,Fabricação de produtos alimentícios não especificados anteriormente
11119,Fabricação de aguardentes e outras bebidas destiladas
11127,Fabricação de vinho
11135,"Fabricação de malte, cervejas e chopes"
11216,Fabricação de águas envasadas
11224,Fabricação de refrigerantes e de outras bebidas não alcoólicas
12107,Processamento industrial do fumo
12204,Fabricação de produtos do fumo
13111,Preparação e fiação de fibras de algodão
13120,"Preparação e fiação de fibras têxteis naturais, exceto algodão"
13138,Fiação de fibras artificiais e sintéticas
13146,Fabricação de linhas para costurar e bordar
13219,Tecelagem de fios de algodão
13227,"Tecelagem de fios de fibras têxteis naturais, exceto algodão"
13235,Tecelagem de fios de fibras artificiais e sintéticas
13308,Fabricação de tecidos de malha
13405,"Acabamentos em fios, tecidos e artefatos têxteis"
13511,Fabricação de artefatos têxteis para uso doméstico
13529,Fabricação de artefatos de tapeçaria
13537,Fabricação de artefatos de cordoaria
13545,"Fabricação de tecidos especiais, inclusive artefatos"
13596,Fabricação de outros produtos têxteis não especificados anteriormente
14118,Confecção de roupas íntimas
14126,"Confecção de peças do vestuário, exceto roupas íntimas"
14134,Confecção de roupas profissionais
14142,"Fabricação de acessórios do vestuário, exceto para segurança e proteção"
14215,Fabricação de meias
14223,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias"
15106,Curtimento e outras preparações de couro
15211,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material"
15297,Fabricação de artefatos de couro não especificados anteriormente
15319,Fabricação de calçados de couro
15327,Fabricação de tênis de qualquer material
15335,Fabricação de calçados de material sintético
15394,Fabricação de calçados de materiais não especificados anteriormente
15408,"Fabricação de partes para calçados, de qualquer material"
16102,Desdobramento de madeira
16218,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"
16226,Fabricação de estruturas de madeira e de artigos de carpintaria para construção
16234,Fabricação de artefatos de tanoaria e de embalagens de madeira
16293,"Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis"
17109,Fabricação de celulose e outras pastas para a fabricação de papel
17214,Fabricação de papel
17222,Fabricação de cartolina e papel-cartão
17311,Fabricação de embalagens de papel
17320,Fabricação de embalagens de cartolina e papel-cartão
17338,Fabricação de chapas e de embalagens de papelão ondulado
17419,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório"
17427,Fabricação de produtos de papel para usos doméstico e higiênico-sanitário
17494,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente"
18113,"Impressão de jornais, livros, revistas e outras publicações periódicas"
18121,Impressão de material de segurança
18130,Impressão de materiais para outros usos
18211,Serviços de pré-impressão
18229,Serviços de acabamentos gráficos
18300,Reprodução de materiais gravados em qualquer suporte
19101,Coquerias
19217,Fabricação de produtos do refino de petróleo
19225,"Fabricação de produtos derivados do petróleo, exceto produtos do refino"
19314,Fabricação de álcool
19322,"Fabricação de biocombustíveis, exceto álcool"
20118,Fabricação de cloro e álcalis
20126,Fabricação de intermediários para fertilizantes
20134,Fabricação de adubos e fertilizantes
20142,Fabricação de gases industriais
20193,Fabricação de produtos químicos inorgânicos não especificados anteriormente
20215,Fabricação de produtos petroquímicos básicos
20223,"Fabricação de intermediários para plastificantes, resinas e fibras"
20291,Fabricação de produtos químicos orgânicos não especificados anteriormente
20312,Fabricação de resinas termoplásticas
20321,Fabricação de resinas termofixas
20339,Fabricação de elastômeros
20401,Fabricação de fibras artificiais e sintéticas
20517,Fabricação de defensivos agrícolas
20525,Fabricação de desinfestantes domissanitários
20614,Fabricação de sabões e detergentes sintéticos
20622,Fabricação de produtos de limpeza e polimento
20631,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"
20711,"Fabricação de tintas, vernizes, esmaltes e lacas"
20720,Fabricação de tintas de impressão
20738,"Fabricação de impermeabilizantes, solventes e produtos afins"
20916,Fabricação de adesivos e selantes
20924,Fabricação de explosivos
20932,Fabricação de aditivos de uso industrial
20941,Fabricação de catalisadores
20991,Fabricação de produtos químicos não especificados anteriormente
21106,Fabricação de produtos farmoquímicos
21211,Fabricação de medicamentos para uso humano
21220,Fabricação de medicamentos para uso veterinário
21238,Fabricação de preparações farmacêuticas
22111,Fabricação de pneumáticos e de câmaras-de-ar
22129,Reforma de pneumáticos usados
22196,Fabricação de artefatos de borracha não especificados anteriormente
22218,Fabricação de laminados planos e tubulares de material plástico
22226,Fabricação de embalagens de material plástico
22234,Fabricação de tubos e acessórios de material plástico para uso na construção
22293,Fabricação de artefatos de material plástico não especificados anteriormente
23117,Fabricação de vidro plano e de segurança
23125,Fabricação de embalagens de vidro
23192,Fabricação de artigos de vidro
23206,Fabricação de cimento
23303,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes "
23419,Fabricação de produtos cerâmicos refratários
23427,Fabricação de produtos cerâmicos não refratários para uso estrutural na construção
23494,Fabricação de produtos cerâmicos não refratários não especificados anteriormente
23915,Aparelhamento e outros trabalhos em pedras 
23923,Fabricação de cal e gesso
23991,Fabricação de produtos de minerais não metálicos não especificados anteriormente
24113,Produção de ferro-gusa
24121,Produção de ferroligas
24211,Produção de semiacabados de aço
24229,Produção de laminados planos de aço
24237,Produção de laminados longos de aço
24245,"Produção de relaminados, trefilados e perfilados de aço"
24318,Produção de tubos de aço com costura
24393,Produção de outros tubos de ferro e aço
24415,Metalurgia do alumínio e suas ligas
24423,Metalurgia dos metais preciosos
24431,Metalurgia do cobre
24491,Metalurgia dos metais não ferrosos e suas ligas não especificados anteriormente
24512,Fundição de ferro e aço
24521,Fundição de metais não ferrosos e suas ligas
25110,Fabricação de estruturas metálicas
25128,Fabricação de esquadrias de metal
25136,Fabricação de obras de caldeiraria pesada
25217,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central"
25225,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos"
25314,Produção de forjados de aço e de metais não ferrosos e suas ligas
25322,Produção de artefatos estampados de metal; metalurgia do pó
