CÓDIGO,UF,MUNICÍPIO
410010,PARANÁ,ABATIÁ
410020,PARANÁ,ADRIANÓPOLIS
410030,PARANÁ,AGUDOS DO SUL
410040,PARANÁ,ALMIRANTE TAMANDARÉ
410045,PARANÁ,ALTAMIRA DO PARANÁ
410050,PARANÁ,ALTÔNIA
410060,PARANÁ,ALTO PARANÁ
410070,PARANÁ,ALTO PIQUIRI
410080,PARANÁ,ALVORADA DO SUL
410090,PARANÁ,AMAPORÃ
410100,PARANÁ,AMPÉRE
410105,PARANÁ,ANAHY
410110,PARANÁ,ANDIRÁ
410115,PARANÁ,ÂNGULO
410120,PARANÁ,ANTONINA
410130,PARANÁ,ANTÔNIO OLINTO
410140,PARANÁ,APUCARANA
410150,PARANÁ,ARAPONGAS
410160,PARANÁ,ARAPOTI
410165,PARANÁ,ARAPUÃ
410170,PARANÁ,ARARUNA
410180,PARANÁ,ARAUCÁRIA
410185,PARANÁ,ARIRANHA DO IVAÍ
410190,PARANÁ,ASSAÍ
410200,PARANÁ,ASSIS CHATEAUBRIAND
410210,PARANÁ,ASTORGA
410220,PARANÁ,ATALAIA
410230,PARANÁ,BALSA NOVA
410240,PARANÁ,BANDEIRANTES
410250,PARANÁ,BARBOSA FERRAZ
410260,PARANÁ,BARRACÃO
410270,PARANÁ,BARRA DO JACARÉ
410275,PARANÁ,BELA VISTA DA CAROBA
410280,PARANÁ,BELA VISTA DO PARAÍSO
410290,PARANÁ,BITURUNA
410300,PARANÁ,BOA ESPERANÇA
410302,PARANÁ,BOA ESPERANÇA DO IGUAÇU
410304,PARANÁ,BOA VENTURA DE SÃO ROQUE
410305,PARANÁ,BOA VISTA DA APARECIDA
410310,PARANÁ,BOCAIÚVA DO SUL
410315,PARANÁ,BOM JESUS DO SUL
410320,PARANÁ,BOM SUCESSO
410322,PARANÁ,BOM SUCESSO DO SUL
410330,PARANÁ,BORRAZÓPOLIS
410335,PARANÁ,BRAGANEY
410337,PARANÁ,BRASILÂNDIA DO SUL
410340,PARANÁ,CAFEARA
410345,PARANÁ,CAFELÂNDIA
410347,PARANÁ,CAFEZAL DO SUL
410350,PARANÁ,CALIFÓRNIA
